Class Name,Line Number
GitMoveDeleteHookTest.java,696
GitMoveDeleteHookTest.java,699
GitMoveDeleteHookTest.java,705
GitMoveDeleteHookTest.java,707
GitMoveDeleteHookTest.java,712
GitMoveDeleteHookTest.java,723
GitMoveDeleteHookTest.java,733
GitMoveDeleteHookTest.java,735
GitMoveDeleteHookTest.java,739
GitMoveDeleteHookTest.java,741
GitMoveDeleteHookTest.java,755
MergeOperationTest.java,48
HistoryViewTest.java,75
ReplaceActionsTest.java,126
ReplaceActionsTest.java,132
IgnoreOperationTest.java,67
IgnoreOperationTest.java,87
IgnoreOperationTest.java,137
PushOperationTest.java,79
PushOperationTest.java,84
PushOperationTest.java,99
PushOperationTest.java,135
PushOperationTest.java,166
PushOperationTest.java,168
PushOperationTest.java,175
PushOperationTest.java,292
EditCommitOperationTest.java,49
GitCloneWizardTest.java,200
GitCloneWizardTest.java,227
GitCloneWizardTest.java,253
ListRemoteOperationTest.java,56
ListRemoteOperationTest.java,61
ListRemoteOperationTest.java,81
TestUtil.java,500
TestUtil.java,501
StashCreateOperationTest.java,43
StashCreateOperationTest.java,62
StashCreateOperationTest.java,77
StashCreateOperationTest.java,92
ProjectUtilTest.java,180
ProjectUtilTest.java,181
ProjectUtilTest.java,182
ProjectUtilTest.java,254
ProjectUtilTest.java,273
ProjectUtilTest.java,275
ProjectUtilTest.java,283
FeatureFinishOperationTest.java,32
FeatureFinishOperationTest.java,48
FeatureFinishOperationTest.java,53
FeatureFinishOperationTest.java,54
FeatureFinishOperationTest.java,72
FeatureFinishOperationTest.java,73
FeatureFinishOperationTest.java,85
FeatureFinishOperationTest.java,86
FeatureFinishOperationTest.java,103
FeatureFinishOperationTest.java,104
DynamicVariablesTest.java,68
DynamicVariablesTest.java,69
DynamicVariablesTest.java,84
DynamicVariablesTest.java,103
DynamicVariablesTest.java,105
ThreeWayDiffEntryTest.java,47
ThreeWayDiffEntryTest.java,50
ThreeWayDiffEntryTest.java,68
ThreeWayDiffEntryTest.java,75
ThreeWayDiffEntryTest.java,78
ThreeWayDiffEntryTest.java,96
ThreeWayDiffEntryTest.java,103
ThreeWayDiffEntryTest.java,106
ThreeWayDiffEntryTest.java,124
ThreeWayDiffEntryTest.java,131
ThreeWayDiffEntryTest.java,134
ThreeWayDiffEntryTest.java,152
ThreeWayDiffEntryTest.java,159
ThreeWayDiffEntryTest.java,162
ThreeWayDiffEntryTest.java,179
ThreeWayDiffEntryTest.java,187
ThreeWayDiffEntryTest.java,190
ThreeWayDiffEntryTest.java,207
ThreeWayDiffEntryTest.java,214
ThreeWayDiffEntryTest.java,218
ThreeWayDiffEntryTest.java,220
ThreeWayDiffEntryTest.java,238
ThreeWayDiffEntryTest.java,245
ThreeWayDiffEntryTest.java,249
ThreeWayDiffEntryTest.java,251
ThreeWayDiffEntryTest.java,269
ThreeWayDiffEntryTest.java,276
ThreeWayDiffEntryTest.java,280
ThreeWayDiffEntryTest.java,282
ThreeWayDiffEntryTest.java,300
ThreeWayDiffEntryTest.java,307
DualRepositoryTestCase.java,64
RepositoryMappingTest.java,48
RepositoryMappingTest.java,55
RepositoryMappingTest.java,61
RepositoryMappingTest.java,72
RepositoryMappingTest.java,78
RepositoryMappingTest.java,97
RepositoryMappingTest.java,98
RepositoryMappingTest.java,99
RepositoryMappingTest.java,119
RepositoryMappingTest.java,159
RepositoryMappingTest.java,161
RepositoryMappingTest.java,170
GitRepositoriesViewFetchAndPushTest.java,67
GitRepositoriesViewFetchAndPushTest.java,73
GitRepositoriesViewFetchAndPushTest.java,77
GitRepositoriesViewFetchAndPushTest.java,83
GitCloneWizardHttpTest.java,32
SmartImportWizardTest.java,168
SmartImportWizardTest.java,170
CommonUtilsTest.java,127
CommonUtilsTest.java,128
CommonUtilsTest.java,129
GitModelCacheTest.java,108
GitModelCacheTest.java,109
GitModelCacheTest.java,110
GitModelCacheTest.java,111
GitTestCase.java,86
GitTestCase.java,102
GitTestCase.java,119
IndexDiffCacheTest.java,135
SquashCommitsOperationTest.java,48
PushBranchWizardTest.java,261
AbstractGitFlowOperationTest.java,50
AbstractGitFlowOperationTest.java,81
HotfixFinishOperationTest.java,73
GitBlobStorageTest.java,80
AbstractDualRepositoryTestCase.java,63
AbstractDualRepositoryTestCase.java,73
AbstractDualRepositoryTestCase.java,89
SubmoduleSyncTest.java,78
CommitUtilTest.java,42
ReleaseStartOperationTest.java,94
StagedChangeCacheTest.java,29
StagedChangeCacheTest.java,31
StagedChangeCacheTest.java,39
StagedChangeCacheTest.java,45
StagedChangeCacheTest.java,46
StagedChangeCacheTest.java,48
StagedChangeCacheTest.java,56
StagedChangeCacheTest.java,57
StagedChangeCacheTest.java,63
StagedChangeCacheTest.java,65
StagedChangeCacheTest.java,73
StagedChangeCacheTest.java,79
StagedChangeCacheTest.java,80
StagedChangeCacheTest.java,82
StagedChangeCacheTest.java,83
StagedChangeCacheTest.java,91
StagedChangeCacheTest.java,92
StagedChangeCacheTest.java,99
StagedChangeCacheTest.java,100
StagedChangeCacheTest.java,102
StagedChangeCacheTest.java,110
StagedChangeCacheTest.java,117
StagedChangeCacheTest.java,118
StagedChangeCacheTest.java,119
StagedChangeCacheTest.java,121
StagedChangeCacheTest.java,129
StagedChangeCacheTest.java,130
StagedChangeCacheTest.java,137
StagedChangeCacheTest.java,138
StagedChangeCacheTest.java,140
StagedChangeCacheTest.java,148
StagedChangeCacheTest.java,155
StagedChangeCacheTest.java,156
StagedChangeCacheTest.java,157
StagedChangeCacheTest.java,158
StagedChangeCacheTest.java,160
StagedChangeCacheTest.java,161
StagedChangeCacheTest.java,169
StagedChangeCacheTest.java,170
StagedChangeCacheTest.java,177
StagedChangeCacheTest.java,178
StagedChangeCacheTest.java,180
StagedChangeCacheTest.java,181
StagedChangeCacheTest.java,189
StagedChangeCacheTest.java,196
StagedChangeCacheTest.java,197
StagedChangeCacheTest.java,198
StagedChangeCacheTest.java,200
StagedChangeCacheTest.java,201
StagedChangeCacheTest.java,202
StagedChangeCacheTest.java,210
StagedChangeCacheTest.java,211
StagedChangeCacheTest.java,218
StagedChangeCacheTest.java,219
StagedChangeCacheTest.java,221
StagedChangeCacheTest.java,222
StagedChangeCacheTest.java,230
StagedChangeCacheTest.java,237
StagedChangeCacheTest.java,238
StagedChangeCacheTest.java,239
StagedChangeCacheTest.java,240
StagedChangeCacheTest.java,242
StagedChangeCacheTest.java,243
StagedChangeCacheTest.java,244
StagedChangeCacheTest.java,245
StagedChangeCacheTest.java,253
StagedChangeCacheTest.java,254
PushTest.java,58
PushTest.java,68
PushTest.java,71
DiscardChangesOperationTest.java,54
DiscardChangesOperationTest.java,59
DiscardChangesOperationTest.java,60
DiscardChangesOperationTest.java,69
DiscardChangesOperationTest.java,70
DiscardChangesOperationTest.java,91
DiscardChangesOperationTest.java,96
DiscardChangesOperationTest.java,114
DiscardChangesOperationTest.java,128
DiscardChangesOperationTest.java,129
DiscardChangesOperationTest.java,131
DiscardChangesOperationTest.java,136
DiscardChangesOperationTest.java,141
DiscardChangesOperationTest.java,147
DiscardChangesOperationTest.java,149
DiscardChangesOperationTest.java,157
DiscardChangesOperationTest.java,164
